user_id,post_content,created_at
7ab02d9d-7c29-4ec0-96a7-1c788c150427,"حد عنده ترشيح لمكان فطار هادي؟",2026-05-06T11:00:00Z
7ab02d9d-7c29-4ec0-96a7-1c788c150427,"إيه عادة بسيطة خلت يومك أروق؟",2026-05-06T10:55:00Z
7ab02d9d-7c29-4ec0-96a7-1c788c150427,"لو معاك ساعة فاضية دلوقتي، هتعمل فيها إيه؟",2026-05-06T10:50:00Z
7ab02d9d-7c29-4ec0-96a7-1c788c150427,"أنهي فيلم قديم لسه يستاهل يتشاف؟",2026-05-06T10:45:00Z
7ab02d9d-7c29-4ec0-96a7-1c788c150427,"اقتراح لتطبيق مفيد ومش مشهور؟",2026-05-06T10:40:00Z
7ab02d9d-7c29-4ec0-96a7-1c788c150427,"إيه أحسن حاجة تتعمل قبل النوم بنص ساعة؟",2026-05-06T10:35:00Z
7ab02d9d-7c29-4ec0-96a7-1c788c150427,"لو هتختار وجبة واحدة طول الأسبوع، تختار إيه؟",2026-05-06T10:30:00Z
7ab02d9d-7c29-4ec0-96a7-1c788c150427,"مين عنده قائمة أغاني للمشاوير؟",2026-05-06T10:25:00Z
7ab02d9d-7c29-4ec0-96a7-1c788c150427,"إيه أحسن نصيحة لتنظيم الوقت بشكل عملي؟",2026-05-06T10:20:00Z
7ab02d9d-7c29-4ec0-96a7-1c788c150427,"ترشيحاتكم لقنوات يوتيوب محتواها خفيف؟",2026-05-06T10:15:00Z
7ab02d9d-7c29-4ec0-96a7-1c788c150427,"إيه أكتر تطبيق مفيد اكتشفته مؤخرًا؟",2026-05-06T10:10:00Z
7ab02d9d-7c29-4ec0-96a7-1c788c150427,"لو هتتعلم مهارة جديدة بسرعة، تختار إيه؟",2026-05-06T10:05:00Z
7ab02d9d-7c29-4ec0-96a7-1c788c150427,"أنهي مسلسل قصير خلصتيه في قعدة واحدة؟",2026-05-06T10:00:00Z
7ab02d9d-7c29-4ec0-96a7-1c788c150427,"رأيكم في القراءة السريعة: نافعة ولا مرهقة؟",2026-05-06T09:55:00Z
7ab02d9d-7c29-4ec0-96a7-1c788c150427,"إيه أكتر أداة بتستخدمها يوميًا في الشغل؟",2026-05-06T09:50:00Z
7ab02d9d-7c29-4ec0-96a7-1c788c150427,"لو عندك وصفة قهوة مختلفة، شاركها",2026-05-06T09:45:00Z
7ab02d9d-7c29-4ec0-96a7-1c788c150427,"أنهي مدينة نفسك تزورها قريب؟",2026-05-06T09:40:00Z
7ab02d9d-7c29-4ec0-96a7-1c788c150427,"إيه أحسن طريقة لتقليل استخدام الموبايل؟",2026-05-06T09:35:00Z
7ab02d9d-7c29-4ec0-96a7-1c788c150427,"سؤال خفيف: البحر ولا الجبل؟",2026-05-06T09:30:00Z
7ab02d9d-7c29-4ec0-96a7-1c788c150427,"إيه أكتر عادة حابة تحافظي عليها الفترة دي؟",2026-05-06T09:25:00Z
